ANT1	27.71	98.43	0.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	27.82	102.50	90.00	12pF	PERFECT_0402_0402
C1-EP-DR	8.00	91.06	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	19.06	104.88	270.00	N.C.	PERFECT_0402_0402
C11	21.37	100.81	90.00	100pF	PERFECT_0402_0402
C12	20.19	100.84	90.00	100nF	PERFECT_0402_0402
C13	20.32	104.88	270.00	N.C.	PERFECT_0402_0402
C14	14.99	102.23	90.00	4.7µF	PERFECT_0402_0402
C15	16.13	104.88	270.00	10µF	PERFECT_0402_0402
C16	17.56	104.88	270.00	47nF	PERFECT_0402_0402
C17	9.78	96.65	0.00	12pF	PERFECT_0402_0402
C18	9.78	95.50	0.00	12pF	PERFECT_0402_0402
C19	22.99	80.59	0.00	100nF	PERFECT_0402_0402
C2	24.60	104.84	0.00	12pF	PERFECT_0402_0402
C20	9.27	92.33	180.00	4.7µF	PERFECT_0402_0402
C21	18.29	83.19	0.00	4.7µF	NORDIC_NRF_3_RESC0201_L
C22	24.64	97.67	270.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	18.03	79.88	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C24	20.10	77.98	270.00	10uF	PERFECT_0402_0402
C25	23.02	79.50	0.00	22uF	PERFECT_0402_0402
C27	-2.29	81.79	90.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29\	10.29	76.96	270.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C3	23.37	98.93	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	-4.45	76.96	270.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C31	4.95	75.95	270.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C32	9.40	82.30	180.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C33	22.99	78.36	0.00	22uF	PERFECT_0402_0402
C34	5.84	80.14	180.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C37	18.03	77.34	180.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C38	18.67	82.16	180.00	1uF	GRM011R60J152KE01L_1_0201
C39	18.03	78.61	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C4	24.64	98.93	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	11.05	98.81	270.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C43	2.79	97.66	270.00	4.3uF	NORDIC_NRF_3_RESC0201_L
C5	13.08	98.81	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	9.27	93.47	180.00	4.7µF	PERFECT_0402_0402
C7	10.79	81.28	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	20.83	90.59	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	23.37	97.66	270.00	100nF	NORDIC_NRF_3_RESC0201_L
D2	0.00	102.36	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D4	-0.25	105.28	180.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	-6.73	102.97	90.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	-1.52	86.36	0.00	1uF/50V	PERFECT_0402_0402
EPD_C10	-1.52	94.11	180.00	1uF/1.5V	PERFECT_0402_0402
EPD_C11	-6.82	97.57	0.00	1uF/1.5V	PERFECT_0402_0402
EPD_C12	-6.86	98.93	0.00	1uF/1.5V	PERFECT_0402_0402
EPD_C2	-1.52	85.09	180.00	1uF/1.5V	PERFECT_0402_0402
EPD_C5	-1.52	87.63	180.00	0.1uF/50V	PERFECT_0402_0402
EPD_C6	-1.47	88.96	180.00	1uF/1.5V	PERFECT_0402_0402
EPD_C7	-1.52	90.26	180.00	1uF/1.5V	PERFECT_0402_0402
EPD_C8	-1.48	91.57	180.00	1uF/1.5V	PERFECT_0402_0402
EPD_C9	-1.51	92.80	180.00	1uF/1.5V	PERFECT_0402_0402
IC1	16.00	85.09	0.00	BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	5.59	82.30	0.00	DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3	11.81	85.85	90.00	BMA423	BMA423_BMA423
IC9	12.45	78.87	180.00	RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J2	23.94	85.60	0.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J4	8.64	102.99	180.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	26.54	100.46	0.00	3.9nH	NORDIC_NRF_2_RESC0402_L
L2	16.51	100.84	90.00	10uH	NORDIC_NRF_2_RESC0402_L
L3	17.65	100.84	90.00	15nH	NORDIC_NRF_2_RESC0402_L
L5	4.07	91.66	0.00	68uH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7	8.13	79.12	90.00	FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
